title,info,img_url
一课译词：言过其实,“言过其实”，形容说话过分，不符合事实。可以翻译为“exaggerate，overstate或make an overstatement”等。,//img2.chinadaily.com.cn/images/202111/15/61922802a310cdd3d81a8a40.jpeg
每日一词 |北京证券交易所 Beijing Stock Exchange,我们将继续支持中小企业创新发展，深化新三板改革，设立北京证券交易所，打造服务创新型中小企业主阵地。,//img2.chinadaily.com.cn/images/202111/15/61922195a310cdd3d81a884f.jpeg
每日新闻播报（November 15）,今日播报内容：英批准首款抗新冠口服药；冰岛工厂将二氧化碳变石头；印尼图书馆推'垃圾换书'；新加坡:拒打疫苗自付新冠治疗费。,//img2.chinadaily.com.cn/images/202111/15/61921e08a310cdd3d81a87c0.jpeg
研究：日语、韩语、土耳其语都源自中国东北,新研究发现，包括日语、汉语、土耳其语和蒙古语在内的泛欧亚语系起源于9000年前在中国东北种植谷子的农民。,//img2.chinadaily.com.cn/images/202111/15/61921a8da310cdd3d81a86e4.jpeg
国家拟建立数据分类分级保护制度,将数据分为一般数据、重要数据、核心数据，不同级别的数据采取不同的保护措施。,//img2.chinadaily.com.cn/images/202111/15/6191eddaa310cdd3d81a8146.jpeg
“锅碗瓢盆”怎么说？常见厨具的英语说法,“炒锅”、“炖锅”、“平底煎锅”、“电饭煲”等对应的英语说法分别是什么？,//img2.chinadaily.com.cn/images/202111/15/6191cd8fa310cdd3d81a7b38.jpeg
“废话文学”刷屏网络：上次看到这些废话，还是上次……,废话，逐渐成了信息时代的一股“清流”。重复，是“废话文学”最明显的特征，能造成一种意想不到的嘲弄幽默效果。,//img2.chinadaily.com.cn/images/202111/14/61905185a310cdd3d81a4a11.jpeg
每日新闻播报（November 12）,今日播报内容：第四届进博会闭幕成果丰硕；中美达成强化气候行动联合宣言；技工教育'十四五'规划印发；英国宣布承认中国疫苗。,//img2.chinadaily.com.cn/images/202111/12/618e393da310cdd3d81a0b1f.jpeg
每日一词 | 党的百年奋斗重大成就和历史经验,走自己的路，是党的全部理论和实践立足点，更是党百年奋斗得出的历史结论。,//img2.chinadaily.com.cn/images/202111/12/618e2d15a310cdd3d81a0a7e.jpeg
马斯克兑现承诺 卖掉10%的特斯拉股票,全球首富埃隆·马斯克在推特上发起了一项投票，问网友是否支持他卖掉10%的特斯拉股票，投票结果有过半人支持他出售。,//img2.chinadaily.com.cn/images/202111/12/618e0c69a310cdd3d81a0576.jpeg
Make no bones? 直言不讳,Make no bones about something意思是对某事直言不讳，毫无顾忌。,//img2.chinadaily.com.cn/images/202111/12/618e051aa310cdd3d81a04ef.jpeg
全国首座“零碳”供暖城市出炉,“暖核一号”项目投运后，海阳核电1号机组成为世界最大热电联产机组，替代了当地12台燃煤锅炉。,//img2.chinadaily.com.cn/images/202111/12/618dfd30a310cdd3d81a036f.jpeg
一课译词：水滴石穿,“水滴石穿”，比喻坚持不懈，集细微的力量也能成就难能的功劳（persistence leads to success）。,//img2.chinadaily.com.cn/images/202111/12/618df4d5a310cdd3d81a01da.jpeg
中国共产党第十九届中央委员会第六次全体会议公报（双语全文）,中国共产党第十九届中央委员会第六次全体会议，于2021年11月8日至11日在北京举行。,//img2.chinadaily.com.cn/images/202111/12/618dbd3aa310cdd3d819e3a8.jpeg
每日一词∣绿色转型 green transition,亚太地区要把绿色作为疫后复苏的底色，努力做科学应对气候变化的领航者。,//img2.chinadaily.com.cn/images/202111/11/618cdb94a310cdd3d819ca11.jpeg
title,info,img_url
一课译词：言过其实,“言过其实”，形容说话过分，不符合事实。可以翻译为“exaggerate，overstate或make an overstatement”等。,//img2.chinadaily.com.cn/images/202111/15/61922802a310cdd3d81a8a40.jpeg
每日一词 |北京证券交易所 Beijing Stock Exchange,我们将继续支持中小企业创新发展，深化新三板改革，设立北京证券交易所，打造服务创新型中小企业主阵地。,//img2.chinadaily.com.cn/images/202111/15/61922195a310cdd3d81a884f.jpeg
每日新闻播报（November 15）,今日播报内容：英批准首款抗新冠口服药；冰岛工厂将二氧化碳变石头；印尼图书馆推'垃圾换书'；新加坡:拒打疫苗自付新冠治疗费。,//img2.chinadaily.com.cn/images/202111/15/61921e08a310cdd3d81a87c0.jpeg
研究：日语、韩语、土耳其语都源自中国东北,新研究发现，包括日语、汉语、土耳其语和蒙古语在内的泛欧亚语系起源于9000年前在中国东北种植谷子的农民。,//img2.chinadaily.com.cn/images/202111/15/61921a8da310cdd3d81a86e4.jpeg
国家拟建立数据分类分级保护制度,将数据分为一般数据、重要数据、核心数据，不同级别的数据采取不同的保护措施。,//img2.chinadaily.com.cn/images/202111/15/6191eddaa310cdd3d81a8146.jpeg
“锅碗瓢盆”怎么说？常见厨具的英语说法,“炒锅”、“炖锅”、“平底煎锅”、“电饭煲”等对应的英语说法分别是什么？,//img2.chinadaily.com.cn/images/202111/15/6191cd8fa310cdd3d81a7b38.jpeg
“废话文学”刷屏网络：上次看到这些废话，还是上次……,废话，逐渐成了信息时代的一股“清流”。重复，是“废话文学”最明显的特征，能造成一种意想不到的嘲弄幽默效果。,//img2.chinadaily.com.cn/images/202111/14/61905185a310cdd3d81a4a11.jpeg
每日新闻播报（November 12）,今日播报内容：第四届进博会闭幕成果丰硕；中美达成强化气候行动联合宣言；技工教育'十四五'规划印发；英国宣布承认中国疫苗。,//img2.chinadaily.com.cn/images/202111/12/618e393da310cdd3d81a0b1f.jpeg
每日一词 | 党的百年奋斗重大成就和历史经验,走自己的路，是党的全部理论和实践立足点，更是党百年奋斗得出的历史结论。,//img2.chinadaily.com.cn/images/202111/12/618e2d15a310cdd3d81a0a7e.jpeg
马斯克兑现承诺 卖掉10%的特斯拉股票,全球首富埃隆·马斯克在推特上发起了一项投票，问网友是否支持他卖掉10%的特斯拉股票，投票结果有过半人支持他出售。,//img2.chinadaily.com.cn/images/202111/12/618e0c69a310cdd3d81a0576.jpeg
Make no bones? 直言不讳,Make no bones about something意思是对某事直言不讳，毫无顾忌。,//img2.chinadaily.com.cn/images/202111/12/618e051aa310cdd3d81a04ef.jpeg
全国首座“零碳”供暖城市出炉,“暖核一号”项目投运后，海阳核电1号机组成为世界最大热电联产机组，替代了当地12台燃煤锅炉。,//img2.chinadaily.com.cn/images/202111/12/618dfd30a310cdd3d81a036f.jpeg
一课译词：水滴石穿,“水滴石穿”，比喻坚持不懈，集细微的力量也能成就难能的功劳（persistence leads to success）。,//img2.chinadaily.com.cn/images/202111/12/618df4d5a310cdd3d81a01da.jpeg
中国共产党第十九届中央委员会第六次全体会议公报（双语全文）,中国共产党第十九届中央委员会第六次全体会议，于2021年11月8日至11日在北京举行。,//img2.chinadaily.com.cn/images/202111/12/618dbd3aa310cdd3d819e3a8.jpeg
每日一词∣绿色转型 green transition,亚太地区要把绿色作为疫后复苏的底色，努力做科学应对气候变化的领航者。,//img2.chinadaily.com.cn/images/202111/11/618cdb94a310cdd3d819ca11.jpeg
title,info,img_url
title,info,img_url
一课译词：言过其实,“言过其实”，形容说话过分，不符合事实。可以翻译为“exaggerate，overstate或make an overstatement”等。,//img2.chinadaily.com.cn/images/202111/15/61922802a310cdd3d81a8a40.jpeg
每日一词 |北京证券交易所 Beijing Stock Exchange,我们将继续支持中小企业创新发展，深化新三板改革，设立北京证券交易所，打造服务创新型中小企业主阵地。,//img2.chinadaily.com.cn/images/202111/15/61922195a310cdd3d81a884f.jpeg
每日新闻播报（November 15）,今日播报内容：英批准首款抗新冠口服药；冰岛工厂将二氧化碳变石头；印尼图书馆推'垃圾换书'；新加坡:拒打疫苗自付新冠治疗费。,//img2.chinadaily.com.cn/images/202111/15/61921e08a310cdd3d81a87c0.jpeg
研究：日语、韩语、土耳其语都源自中国东北,新研究发现，包括日语、汉语、土耳其语和蒙古语在内的泛欧亚语系起源于9000年前在中国东北种植谷子的农民。,//img2.chinadaily.com.cn/images/202111/15/61921a8da310cdd3d81a86e4.jpeg
国家拟建立数据分类分级保护制度,将数据分为一般数据、重要数据、核心数据，不同级别的数据采取不同的保护措施。,//img2.chinadaily.com.cn/images/202111/15/6191eddaa310cdd3d81a8146.jpeg
“锅碗瓢盆”怎么说？常见厨具的英语说法,“炒锅”、“炖锅”、“平底煎锅”、“电饭煲”等对应的英语说法分别是什么？,//img2.chinadaily.com.cn/images/202111/15/6191cd8fa310cdd3d81a7b38.jpeg
“废话文学”刷屏网络：上次看到这些废话，还是上次……,废话，逐渐成了信息时代的一股“清流”。重复，是“废话文学”最明显的特征，能造成一种意想不到的嘲弄幽默效果。,//img2.chinadaily.com.cn/images/202111/14/61905185a310cdd3d81a4a11.jpeg
每日新闻播报（November 12）,今日播报内容：第四届进博会闭幕成果丰硕；中美达成强化气候行动联合宣言；技工教育'十四五'规划印发；英国宣布承认中国疫苗。,//img2.chinadaily.com.cn/images/202111/12/618e393da310cdd3d81a0b1f.jpeg
每日一词 | 党的百年奋斗重大成就和历史经验,走自己的路，是党的全部理论和实践立足点，更是党百年奋斗得出的历史结论。,//img2.chinadaily.com.cn/images/202111/12/618e2d15a310cdd3d81a0a7e.jpeg
马斯克兑现承诺 卖掉10%的特斯拉股票,全球首富埃隆·马斯克在推特上发起了一项投票，问网友是否支持他卖掉10%的特斯拉股票，投票结果有过半人支持他出售。,//img2.chinadaily.com.cn/images/202111/12/618e0c69a310cdd3d81a0576.jpeg
Make no bones? 直言不讳,Make no bones about something意思是对某事直言不讳，毫无顾忌。,//img2.chinadaily.com.cn/images/202111/12/618e051aa310cdd3d81a04ef.jpeg
全国首座“零碳”供暖城市出炉,“暖核一号”项目投运后，海阳核电1号机组成为世界最大热电联产机组，替代了当地12台燃煤锅炉。,//img2.chinadaily.com.cn/images/202111/12/618dfd30a310cdd3d81a036f.jpeg
一课译词：水滴石穿,“水滴石穿”，比喻坚持不懈，集细微的力量也能成就难能的功劳（persistence leads to success）。,//img2.chinadaily.com.cn/images/202111/12/618df4d5a310cdd3d81a01da.jpeg
中国共产党第十九届中央委员会第六次全体会议公报（双语全文）,中国共产党第十九届中央委员会第六次全体会议，于2021年11月8日至11日在北京举行。,//img2.chinadaily.com.cn/images/202111/12/618dbd3aa310cdd3d819e3a8.jpeg
每日一词∣绿色转型 green transition,亚太地区要把绿色作为疫后复苏的底色，努力做科学应对气候变化的领航者。,//img2.chinadaily.com.cn/images/202111/11/618cdb94a310cdd3d819ca11.jpeg
title,info,img_url
一课译词：言过其实,“言过其实”，形容说话过分，不符合事实。可以翻译为“exaggerate，overstate或make an overstatement”等。,//img2.chinadaily.com.cn/images/202111/15/61922802a310cdd3d81a8a40.jpeg
每日一词 |北京证券交易所 Beijing Stock Exchange,我们将继续支持中小企业创新发展，深化新三板改革，设立北京证券交易所，打造服务创新型中小企业主阵地。,//img2.chinadaily.com.cn/images/202111/15/61922195a310cdd3d81a884f.jpeg
每日新闻播报（November 15）,今日播报内容：英批准首款抗新冠口服药；冰岛工厂将二氧化碳变石头；印尼图书馆推'垃圾换书'；新加坡:拒打疫苗自付新冠治疗费。,//img2.chinadaily.com.cn/images/202111/15/61921e08a310cdd3d81a87c0.jpeg
研究：日语、韩语、土耳其语都源自中国东北,新研究发现，包括日语、汉语、土耳其语和蒙古语在内的泛欧亚语系起源于9000年前在中国东北种植谷子的农民。,//img2.chinadaily.com.cn/images/202111/15/61921a8da310cdd3d81a86e4.jpeg
国家拟建立数据分类分级保护制度,将数据分为一般数据、重要数据、核心数据，不同级别的数据采取不同的保护措施。,//img2.chinadaily.com.cn/images/202111/15/6191eddaa310cdd3d81a8146.jpeg
“锅碗瓢盆”怎么说？常见厨具的英语说法,“炒锅”、“炖锅”、“平底煎锅”、“电饭煲”等对应的英语说法分别是什么？,//img2.chinadaily.com.cn/images/202111/15/6191cd8fa310cdd3d81a7b38.jpeg
“废话文学”刷屏网络：上次看到这些废话，还是上次……,废话，逐渐成了信息时代的一股“清流”。重复，是“废话文学”最明显的特征，能造成一种意想不到的嘲弄幽默效果。,//img2.chinadaily.com.cn/images/202111/14/61905185a310cdd3d81a4a11.jpeg
每日新闻播报（November 12）,今日播报内容：第四届进博会闭幕成果丰硕；中美达成强化气候行动联合宣言；技工教育'十四五'规划印发；英国宣布承认中国疫苗。,//img2.chinadaily.com.cn/images/202111/12/618e393da310cdd3d81a0b1f.jpeg
每日一词 | 党的百年奋斗重大成就和历史经验,走自己的路，是党的全部理论和实践立足点，更是党百年奋斗得出的历史结论。,//img2.chinadaily.com.cn/images/202111/12/618e2d15a310cdd3d81a0a7e.jpeg
马斯克兑现承诺 卖掉10%的特斯拉股票,全球首富埃隆·马斯克在推特上发起了一项投票，问网友是否支持他卖掉10%的特斯拉股票，投票结果有过半人支持他出售。,//img2.chinadaily.com.cn/images/202111/12/618e0c69a310cdd3d81a0576.jpeg
Make no bones? 直言不讳,Make no bones about something意思是对某事直言不讳，毫无顾忌。,//img2.chinadaily.com.cn/images/202111/12/618e051aa310cdd3d81a04ef.jpeg
全国首座“零碳”供暖城市出炉,“暖核一号”项目投运后，海阳核电1号机组成为世界最大热电联产机组，替代了当地12台燃煤锅炉。,//img2.chinadaily.com.cn/images/202111/12/618dfd30a310cdd3d81a036f.jpeg
一课译词：水滴石穿,“水滴石穿”，比喻坚持不懈，集细微的力量也能成就难能的功劳（persistence leads to success）。,//img2.chinadaily.com.cn/images/202111/12/618df4d5a310cdd3d81a01da.jpeg
中国共产党第十九届中央委员会第六次全体会议公报（双语全文）,中国共产党第十九届中央委员会第六次全体会议，于2021年11月8日至11日在北京举行。,//img2.chinadaily.com.cn/images/202111/12/618dbd3aa310cdd3d819e3a8.jpeg
每日一词∣绿色转型 green transition,亚太地区要把绿色作为疫后复苏的底色，努力做科学应对气候变化的领航者。,//img2.chinadaily.com.cn/images/202111/11/618cdb94a310cdd3d819ca11.jpeg
